year_month,python,javascript,java,c#,reactjs,android,flutter,php,typescript,node.js,c++,r,html
2022-04,19867.0,13276.0,6247.0,5220.0,7112.0,3610.0,2980.0,3100.0,2540.0,3510.0,3430.0,4090.0,4680.0
2022-05,18405.0,12612.0,6100.0,5170.0,6625.0,3470.0,3070.0,3060.0,2610.0,3440.0,3270.0,3990.0,4690.0
2022-06,18924.0,12714.0,5630.0,5390.0,6782.0,3470.0,3150.0,3090.0,2710.0,3320.0,3030.0,3820.0,4710.0
2022-07,18742.0,12578.0,5340.0,5180.0,6901.0,3490.0,3220.0,3020.0,2770.0,3440.0,2970.0,3680.0,4500.0
2022-08,16168.0,11243.0,4577.0,4725.0,5810.0,3210.0,3180.0,2680.0,2600.0,2990.0,2540.0,3290.0,3950.0
2022-09,16550.0,11520.0,4750.0,4810.0,5950.0,3100.0,3050.0,2740.0,2700.0,2810.0,2660.0,3450.0,4100.0
2022-10,17120.0,11080.0,4900.0,4700.0,5770.0,3050.0,2980.0,2670.0,2600.0,2920.0,2750.0,3650.0,4200.0
2022-11,16880.0,11380.0,4900.0,4800.0,5750.0,3050.0,3040.0,2660.0,2680.0,2870.0,2700.0,3500.0,4170.0
2022-12,15890.0,10180.0,4650.0,4550.0,5300.0,2850.0,2820.0,2200.0,2500.0,2700.0,2400.0,3050.0,3850.0
2023-01,13666.0,9126.0,4468.0,4357.0,5103.0,2660.0,2710.0,2130.0,2360.0,2540.0,2110.0,2830.0,3383.0
2023-02,12817.0,8256.0,4041.0,4034.0,4644.0,2570.0,2450.0,1810.0,2090.0,2380.0,1860.0,3258.0,3248.0
2023-03,12116.0,8089.0,4218.0,4035.0,4489.0,2359.0,2120.0,1420.0,2100.0,2060.0,2060.0,2988.0,3225.0
2023-04,10149.0,6492.0,3545.0,3172.0,3674.0,1891.0,1577.0,1080.0,1616.0,1620.0,1410.0,2287.0,2617.0
2023-05,9550.0,6039.0,3136.0,3128.0,3430.0,1735.0,1440.0,1160.0,1523.0,1139.0,1060.0,2106.0,2533.0
2023-06,9141.0,5818.0,3352.0,3136.0,3419.0,1815.0,1347.0,1150.0,1416.0,1509.0,1290.0,1883.0,2128.0
2023-07,9164.0,5840.0,2997.0,3260.0,3439.0,1694.0,1354.0,753.0,1558.0,1480.0,1130.0,1626.0,2194.0
2023-08,8285.0,5241.0,2941.0,2867.0,3152.0,1770.0,1392.0,1010.0,1497.0,909.0,945.0,1808.0,1950.0
2023-09,6883.0,4469.0,2495.0,2396.0,2519.0,1601.0,1015.0,682.0,1141.0,771.0,565.0,1414.0,1442.0
2023-10,6890.0,4162.0,2486.0,2339.0,2190.0,1642.0,825.0,334.0,789.0,221.0,975.0,1303.0,1414.0
2023-11,6808.0,4016.0,2341.0,2430.0,2237.0,1403.0,789.0,166.0,663.0,276.0,639.0,1316.0,1036.0
2023-12,5338.0,3600.0,1656.0,1880.0,1669.0,779.0,226.0,52.0,391.0,162.0,279.0,503.0,721.0
2024-01,6234.0,4053.0,2068.0,2059.0,2183.0,1330.0,738.0,55.0,457.0,158.0,752.0,1166.0,1248.0
2024-02,4820.0,3065.0,1620.0,1745.0,1685.0,1075.0,648.0,265.0,540.0,300.0,675.0,940.0,980.0
2024-03,4460.0,2840.0,1510.0,1610.0,1570.0,1005.0,600.0,240.0,500.0,280.0,600.0,870.0,890.0
2024-04,5070.0,3050.0,1700.0,1815.0,1800.0,1260.0,880.0,510.0,820.0,610.0,700.0,980.0,960.0
2024-05,5230.0,2985.0,1675.0,1760.0,1725.0,1205.0,840.0,480.0,770.0,570.0,660.0,910.0,900.0
2024-06,4850.0,2700.0,1450.0,1605.0,1500.0,1040.0,700.0,390.0,640.0,420.0,500.0,720.0,700.0
2024-07,3860.0,2180.0,990.0,1300.0,1160.0,880.0,500.0,230.0,410.0,260.0,310.0,420.0,360.0
2024-08,3200.0,1800.0,520.0,1100.0,880.0,700.0,320.0,150.0,260.0,120.0,160.0,250.0,180.0
2024-09,3662.0,1950.0,469.0,1264.0,721.0,776.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,3457.0,1547.0,949.0,1028.0,53.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,3120.0,1208.0,577.0,732.0,53.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,2644.0,528.0,444.0,226.0,54.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,2651.0,587.0,326.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,2211.0,625.0,111.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
